id,categories
285774,Civilization
285774,Fantasy
285774,Economic
285774,Territory Building
285774,Abstract Strategy
285774,Abstract Strategy
285774,Ancient
180263,Economic
180263,Negotiation
180263,Political
180263,Civilization
180263,Fantasy
180263,Card Game
180263,Fantasy
180263,Civilization
180263,Nautical
180263,Abstract Strategy
180263,Medieval
284083,Card Game
284083,Fantasy
284083,Civilization
284083,Fantasy
284083,Ancient
284083,Civilization
284083,Fantasy
284083,Abstract Strategy
284083,Medieval
192135,Economic
192135,Negotiation
192135,Political
192135,Exploration
192135,Card Game
192135,Fantasy
192135,Economic
192135,Negotiation
192135,Political
192135,Abstract Strategy
192135,Medieval
192135,Economic
192135,Territory Building
266507,Card Game
266507,Fantasy
266507,Civilization
266507,Nautical
266507,Civilization
266507,Nautical
266507,Economic
266507,Territory Building
266507,Abstract Strategy
247763,Card Game
247763,Fantasy
247763,Ancient
247763,Abstract Strategy
247763,Abstract Strategy
247763,Civilization
247763,Nautical
247763,Abstract Strategy
247763,Medieval
55690,Economic
55690,Territory Building
55690,Economic
55690,Territory Building
55690,Civilization
55690,Nautical
55690,Exploration
126163,Economic
126163,Negotiation
126163,Political
126163,Card Game
126163,Fantasy
126163,Civilization
126163,Nautical
126163,Economic
126163,Negotiation
126163,Political
126163,Civilization
126163,Nautical
126163,Abstract Strategy
126163,Medieval
2651,Card Game
2651,Fantasy
2651,Civilization
2651,Nautical
2651,Economic
2651,Territory Building
2651,Economic
2651,Negotiation
2651,Political
185343,Economic
185343,Negotiation
185343,Political
185343,Civilization
185343,Fantasy
185343,Economic
185343,Territory Building
185343,Abstract Strategy
185343,Medieval
185343,Ancient
185343,Abstract Strategy
185343,Medieval
209010,Card Game
209010,Fantasy
209010,Exploration
209010,Economic
209010,Negotiation
209010,Political
164153,Economic
164153,Negotiation
164153,Political
164153,Civilization
164153,Nautical
164153,Ancient
164153,Economic
164153,Negotiation
164153,Political
164153,Economic
164153,Territory Building
164153,Abstract Strategy
164153,Medieval
216132,Card Game
216132,Fantasy
216132,Economic
216132,Negotiation
216132,Political
216132,Civilization
216132,Nautical
216132,Economic
216132,Negotiation
216132,Political
216132,Abstract Strategy
216132,Medieval
216132,Card Game
216132,Fantasy
251247,Card Game
251247,Fantasy
251247,Economic
251247,Territory Building
251247,Economic
251247,Negotiation
251247,Political
251247,Card Game
251247,Fantasy
251247,Ancient
251247,Abstract Strategy
35677,Abstract Strategy
35677,Medieval
35677,Economic
35677,Territory Building
35677,Civilization
35677,Nautical
35677,Abstract Strategy
35677,Abstract Strategy
230802,Card Game
230802,Fantasy
230802,Abstract Strategy
230802,Medieval
230802,Civilization
230802,Fantasy
230802,Card Game
230802,Fantasy
184267,Economic
184267,Negotiation
184267,Political
184267,Civilization
184267,Fantasy
184267,Ancient
184267,Card Game
184267,Fantasy
184267,Civilization
184267,Nautical
184267,Abstract Strategy
72125,Abstract Strategy
72125,Card Game
72125,Fantasy
72125,Economic
72125,Negotiation
72125,Political
72125,Card Game
72125,Fantasy
72125,Economic
72125,Territory Building
