rank,id,name,description,bggrating,avgrating,numvoter,date
888,127518,A Distant Plain,"Counter-insurgency Afghanistan: Government, Coalition, Taliban and Warlords compete.",6.592,7.86,1482,2021-08-10
889,199966,Kingsburg (Second Edition),Influence members of the King's court to grow your province and prepare for battle.,6.591,7.49,2018,2021-08-10
890,6830,Zendo,Students look to the Master to deduce the true Buddha-nature of their works.,6.590,7.25,2772,2021-08-10
891,97903,Terror in Meeple City,Smash! Stomp! Chomp! Your monster can destroy it all with the flick of a finger.,6.590,6.85,7206,2021-08-10
892,55427,Mr. Jack in New York,Jack has fled to NYC and changed identity. Can you catch him on a new ground?,6.590,7.22,3046,2021-08-10
893,177524,ICECOOL,Flick high school penguins to catch fish without getting caught by the hall monitor.,6.590,6.82,8674,2021-08-10
894,229892,Container: 10th Anniversary Jumbo Edition!,"Build it, store it, sell it, transport it and hopefully you'll make money!",6.589,7.70,1585,2021-08-10
895,25568,Metropolys,"Use your buildings to bid on the best plots, collect prizes, & score secret goals.",6.588,7.02,4025,2021-08-10
896,218509,Empires of the Void II,"Use diplomacy, invasion, or both to interact with story-filled alien planets.",6.588,7.53,1973,2021-08-10
897,40793,Dice Town,Make the best hand of poker dice. A little money may improve your chances.,6.588,6.86,6897,2021-08-10
898,279613,Unlock!: Timeless Adventures,"Solve puzzles to escape from your old nemesis, find a stolen jewel, & travel in time.",6.587,7.95,1313,2021-08-10
899,163154,Falling Sky: The Gallic Revolt Against Caesar,"Romans, Germans, Celts & Belgic tribes vie for Gaul, driven by historic events.",6.586,7.89,1446,2021-08-10
900,164949,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",Roman politicians try to take advantage of barbarians invading the Empire.,6.586,7.64,1748,2021-08-10
901,35052,Axis & Allies Anniversary Edition,"Will history repeat itself, or will you change the outcome?",6.586,7.43,2664,2021-08-10
902,227515,Riverboat,Plant and cultivate crops to send down the Mississippi to build your empire.,6.585,7.48,2003,2021-08-10
903,195314,Herbaceous,Relax as you collect and plant an assortment of flavorful herbs in your garden.,6.584,7.11,3773,2021-08-10
904,67492,Battles of Westeros,Strategically outmaneuver your opponent with familiar Game of Thrones characters.,6.584,7.26,2835,2021-08-10
905,823,The Lord of the Rings,"Cooperatively play cards, progress across adventure boards, and destroy the One Ring.",6.583,6.75,14525,2021-08-10
906,122522,Smash Up,Combine disparate groups to earn victory points and change the rules in the process.,6.583,6.74,24184,2021-08-10
907,35497,Fauna,Being close is what counts in this game about animal characteristics.,6.582,7.03,4095,2021-08-10
908,254386,Raccoon Tycoon,"Build railroads, towns and goods to become the most prodigious critter in Astoria.",6.582,7.39,2331,2021-08-10
909,135382,Shadowrun: Crossfire,Be a Runner. Fight the Megacorps!,6.582,7.15,3443,2021-08-10
