rank,id,name,description,bggrating,avgrating,numvoter,date
58,125153,The Gallerist,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.685,8.06,10428,2021-08-10
59,256960,Pax Pamir: Second Edition,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",7.679,8.40,5473,2021-08-10
60,124742,Android: Netrunner,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.674,7.88,27200,2021-08-10
61,191189,Aeon's End,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",7.669,8.03,12438,2021-08-10
62,161533,Lisboa,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.667,8.21,7283,2021-08-10
63,121921,Robinson Crusoe: Adventures on the Cursed Island,Work together — with friends or with Friday — to survive on a deserted island.,7.662,7.83,35699,2021-08-10
64,159675,Fields of Arle,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.657,8.09,8558,2021-08-10
65,521,Crokinole,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.657,7.93,12796,2021-08-10
66,244521,The Quacks of Quedlinburg,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.657,7.84,25777,2021-08-10
67,171623,The Voyages of Marco Polo,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.656,7.86,21043,2021-08-10
68,28143,Race for the Galaxy,"Worlds await! Colonize, develop and conquer taking advantage of others' choices.",7.655,7.76,47624,2021-08-10
69,266810,Paladins of the West Kingdom,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.648,8.06,9740,2021-08-10
70,229853,Teotihuacan: City of Gods,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.648,7.94,14082,2021-08-10
71,246900,Eclipse: Second Dawn for the Galaxy,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.645,8.74,3887,2021-08-10
72,201808,Clank!: A Deck-Building Adventure,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.644,7.82,29904,2021-08-10
73,68448,7 Wonders,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.641,7.74,87095,2021-08-10
74,157354,Five Tribes,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",7.631,7.78,33319,2021-08-10
75,62219,Dominant Species,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.627,7.84,18402,2021-08-10
76,110327,Lords of Waterdeep,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.621,7.75,47266,2021-08-10
77,200680,Agricola (Revised Edition),Prosper your farm in an updated and streamlined edition of this acclaimed game.,7.617,8.02,10476,2021-08-10
78,122515,Keyflower,Compete in a unique auction system to build the most prosperous village.,7.604,7.79,19569,2021-08-10
79,264220,Tainted Grail: The Fall of Avalon,"Exploration, battle and diplomacy in a dark Arthurian realm.",7.599,8.33,7140,2021-08-10
80,236457,Architects of the West Kingdom,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,7.588,7.82,18829,2021-08-10
81,18602,Caylus,Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.,7.587,7.76,27157,2021-08-10
82,93,El Grande,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.580,7.75,23975,2021-08-10
83,182874,Grand Austria Hotel,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,7.579,7.86,13673,2021-08-10
84,12493,Twilight Imperium: Third Edition,"Epic empire-building game of interstellar conflict, trade, and struggle for power.",7.570,7.83,18460,2021-08-10
85,37111,Battlestar Galactica: The Board Game,How can the human race survive when you don't know who is actually human?,7.570,7.74,33407,2021-08-10
86,146021,Eldritch Horror,An unknown Elder God approaches the world—and you must solve mysteries to stop it.,7.562,7.80,30358,2021-08-10
87,73439,Troyes,"Defend the city and rise to power by influencing the merchants, knights and clergy.",7.562,7.76,19586,2021-08-10
88,172386,Mombasa,Acquire shares of unique companies and propagate their trading posts to rake in cash.,7.561,7.88,11268,2021-08-10
89,40834,Dominion: Intrigue,"Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.",7.561,7.71,30641,2021-08-10
90,205896,Rising Sun,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",7.560,7.86,16630,2021-08-10
91,269385,The Lord of the Rings: Journeys in Middle-Earth,"Heroes explore Middle-earth, working together to combat evil in an epic campaign.",7.557,8.05,10014,2021-08-10
92,163412,Patchwork,Piece together a quilt and leave no holes to become the button master.,7.542,7.65,49130,2021-08-10
93,170042,Raiders of the North Sea,Assemble and prepare a formidable crew of vikings to pillage towns and gain glory.,7.542,7.78,17165,2021-08-10
94,144733,Russian Railroads,"Acquire locomotives & industry, build track, and hire the best engineers in Russia.",7.536,7.77,15324,2021-08-10
95,42,Tigris & Euphrates,Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.,7.528,7.70,25709,2021-08-10
96,203993,Lorenzo il Magnifico,Avoid excommunication and lead your family to power during the Italian Renaissance.,7.526,7.89,9959,2021-08-10
97,281259,The Isle of Cats,Rescue as many island cats as you can before Lord Vesh comes to destroy their home.,7.525,7.99,8861,2021-08-10
98,178900,Codenames,Give your team clever one-word clues to help them spot their agents in the field.,7.518,7.61,70868,2021-08-10
99,102680,Trajan,Manage and rule all aspects of Ancient Rome with a clever action selection mancala.,7.515,7.76,15122,2021-08-10
100,132531,Roll for the Galaxy,"Utilize your dice populace to develop technologies, settle worlds, and ship goods.",7.515,7.66,27342,2021-08-10
101,225694,Decrypto,Decipher your opponents' code before they decipher yours. Don't get caught.,7.504,7.80,12981,2021-08-10
102,36218,Dominion,Acquire the most valuable lands by building your deck with treasure and power cards.,7.504,7.61,79783,2021-08-10
103,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,The game is afoot as you and your irregular friends search Victorian London for clues,7.498,7.72,17914,2021-08-10
104,30549,Pandemic,Your team of experts must prevent the world from succumbing to a viral pandemic.,7.498,7.60,105617,2021-08-10
105,155821,Inis,Claim the crown through merit and wisdom in this Celtic island struggle.,7.494,7.81,13560,2021-08-10
106,198928,Pandemic: Iberia,"Travel from Barcelona to Lisboa to cure malaria, typhus, yellow fever, and cholera.",7.490,7.92,8621,2021-08-10
107,172287,Champions of Midgard,"Gain glory by defending a Viking harbor town against trolls, draugr and other beasts.",7.488,7.77,13984,2021-08-10
108,233371,Clank! In! Space!: A Deck-Building Adventure,Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.,7.486,7.85,9934,2021-08-10
109,196340,Yokohama,Claim your fame as the dominant merchant in the Meiji period of Yokohama.,7.486,7.85,9368,2021-08-10
110,127023,Kemet,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,7.480,7.71,16706,2021-08-10
111,175155,Forbidden Stars,Choose one of four Warhammer 40K factions and wage war across the Herakon Cluster.,7.479,7.97,7757,2021-08-10
112,266524,PARKS,"Hike through National Parks tiles, collecting memories and admiring gorgeous scenery.",7.470,7.87,9712,2021-08-10
113,175640,Vinhos Deluxe Edition,The strategic craft of fine winemaking.,7.466,8.20,4592,2021-08-10
114,263918,Cartographers,The Queen's cartographers compete to sketch the most efficient maps.,7.462,7.74,13650,2021-08-10
115,161970,Alchemists,Showcase your alchemical know-how by publishing theories in this app-driven game.,7.454,7.67,18913,2021-08-10
116,103885,Star Wars: X-Wing Miniatures Game,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,7.453,7.68,23417,2021-08-10
117,146652,Legendary Encounters: An Alien Deck Building Game,"In space, no one can hear you build a deck of marine & weapon cards to fight aliens.",7.453,7.78,11619,2021-08-10
118,34635,Stone Age,Travel to the time of hunters and gatherers in this classic game of tools and tribes.,7.448,7.56,46099,2021-08-10
119,218417,Aeon's End: War Eternal,War Eternal is a standalone game compatible with the deck building game Aeon's End.,7.448,8.39,3623,2021-08-10
120,262712,Res Arcana,"Rival mages create artifacts, vying for places of power and ancient monuments.",7.447,7.76,11984,2021-08-10
121,233398,Endeavor: Age of Sail,"Spread your glory over the vast, as of yet unexplored world in this updated classic.",7.447,8.00,6729,2021-08-10
122,147020,Star Realms,Compete head-to-head to create the most powerful deck of spaceships and bases.,7.445,7.58,37272,2021-08-10
123,4098,Age of Steam,"Outperform your railroad rivals with shares, auctions, trackbuilding, and deliveries.",7.436,7.79,9139,2021-08-10
124,163068,Trickerion: Legends of Illusion,"In a Victorian steampunk world, magicians perform dazzling tricks for money and fame.",7.435,7.92,7181,2021-08-10
125,104162,Descent: Journeys in the Dark (Second Edition),Fight monsters and upgrade your characters in an all-vs-Overlord fantasy campaign.,7.432,7.68,23137,2021-08-10
126,118048,Targi,A contest between two nomadic tribes along desert trade routes.,7.430,7.65,15744,2021-08-10
127,14996,Ticket to Ride: Europe,Build train routes across Europe in this sequel to the hit family board game.,7.429,7.55,60797,2021-08-10
128,148949,Istanbul,Send your assistants through the shops of Istanbul as you race to acquire rubies.,7.424,7.57,26157,2021-08-10
129,233867,Welcome To...,"Design the most appealing 1950s neighborhood, with fences, parks, and swimming pools.",7.420,7.61,19466,2021-08-10
130,150376,Dead of Winter: A Crossroads Game,"As you struggle to keep survivors alive, how will you value group vs. personal needs?",7.411,7.56,40302,2021-08-10
131,43111,Chaos in the Old World,Rival chaos gods send forth their minions to spread corruption and destruction.,7.411,7.67,14454,2021-08-10
132,244522,That's Pretty Clever!,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",7.409,7.63,15853,2021-08-10
133,9609,War of the Ring,"Rings, Fellowship, diplomacy and war in the Third Age of Middle Earth.",7.409,7.77,10022,2021-08-10
134,43015,Hansa Teutonica,Build networks of merchants along the roads and market towns of the Hanseatic League.,7.407,7.67,12060,2021-08-10
135,271324,It's a Wonderful World,"Draft yourself the ‘perfect’ dystopia, complete projects and churn out resources.",7.405,7.85,8065,2021-08-10
136,77423,The Lord of the Rings: The Card Game,Guide your fellowship as it embarks on unique adventures in Tolkien's Middle Earth!,7.405,7.65,21344,2021-08-10
137,274364,Watergate,Hide or expose the greatest American political scandal in a tug of war for evidence.,7.403,7.96,5700,2021-08-10
138,314040,Pandemic Legacy: Season 0,Work together during the Cold War to prevent a Soviet bio-threat.,7.399,8.72,2536,2021-08-10
139,54043,Jaipur,Trade and sell goods to become the most wealthy merchant in this short game for two.,7.395,7.51,39178,2021-08-10
140,287954,Azul: Summer Pavilion,You're an artisan working on creating striking patterns within a king's palace.,7.392,7.80,8524,2021-08-10
141,17133,Railways of the World,"Build rails, race to deliver scarce goods, and fulfill your Rail Baron's secret goal.",7.392,7.69,11141,2021-08-10
142,221194,Dinosaur Island,Research DNA to bring prehistoric reptiles to life.,7.392,7.71,12310,2021-08-10
143,128882,The Resistance: Avalon,Who can you trust? A game of social deduction set in King Arthur’s legendary realm.,7.391,7.57,27927,2021-08-10
144,253344,Cthulhu: Death May Die,Ia Ia fhtagn! Disrupt the ritual and kill the Great Old One in this dungeon crawler.,7.389,8.17,4872,2021-08-10
145,155426,Castles of Mad King Ludwig,Choose and play tiles to satisfy the king's whims and build the best fantasy castle.,7.387,7.55,22618,2021-08-10
146,103343,A Game of Thrones: The Board Game (Second Edition),Make alliances—and break them!—as you strive to both unite and conquer Westeros.,7.387,7.59,29441,2021-08-10
147,82222,Xia: Legends of a Drift System,Pilot your ship to stardom in a massive sci-fi sandbox.,7.386,7.87,7797,2021-08-10
148,10630,Memoir '44,Revisit the battles of D-Day and control the forces of the Allies and the Axis!,7.385,7.56,26244,2021-08-10
149,70149,Ora et Labora,Manage workers and resources to build up the land around your medieval monastery.,7.382,7.70,9965,2021-08-10
150,220877,Rajas of the Ganges,Manage your dice to build profitable markets and grand monuments in historic India.,7.381,7.72,9664,2021-08-10
151,188920,This War of Mine: The Board Game,Civilians trapped in a war-torn city must make difficult decisions to survive.,7.376,7.83,9218,2021-08-10
152,217372,The Quest for El Dorado,Race through a dense South American jungle in pursuit of the legendary city of gold.,7.373,7.62,13805,2021-08-10
153,39463,Cosmic Encounter,Conquer the galaxy with shifting alliances and the unique powers of your alien race.,7.371,7.54,28036,2021-08-10
154,14105,Commands & Colors: Ancients,Accessible game of warfare from the dawn of history to the opening of the Middle Ages,7.367,7.78,8079,2021-08-10
155,199561,Sagrada,Craft the best stained-glass windows by carefully placing colorful transparent dice.,7.366,7.52,28165,2021-08-10
156,239188,Chronicles of Crime,"Lay out the case, interrogate suspects, and investigate crime scenes with your phone.",7.362,7.76,15694,2021-08-10
157,463,Magic: The Gathering,Cast spells and summon fantasy monsters in the original collectible card game.,7.361,7.53,33353,2021-08-10
158,223321,Detective: A Modern Crime Board Game,Use modern tools and become Antares Detectives solving the most difficult cases.,7.361,7.86,7703,2021-08-10
159,254640,Just One,"Give one-word clues so someone can guess one word, but duplicate clues are discarded.",7.360,7.61,13508,2021-08-10
160,123260,Suburbia,Expand your meager neighborhood into a sprawling suburb to attract the most citizens.,7.359,7.51,22043,2021-08-10
161,195421,Near and Far,Explore the lands to discover the Last Ruins and become the most storied traveller.,7.358,7.79,7799,2021-08-10
162,31627,Ticket to Ride: Nordic Countries,"Build railways to connect destinations across Scandinavia, Finland, and Estonia.",7.355,7.64,11973,2021-08-10
163,126042,Nations,"Steer the fate of your nation, from the ancient world until the outbreak of WW1.",7.353,7.64,11309,2021-08-10
164,25021,Sekigahara: The Unification of Japan,Defend or depose the Toyotomi heir by commanding the loyalty of the feudal lords.,7.352,8.03,4614,2021-08-10
165,21050,Combat Commander: Europe,Recreate the European theater of World War II in this acclaimed card-driven wargame.,7.350,7.95,5496,2021-08-10
166,104006,Village,"Send your villagers to work, travel, pray, and... die when it brings the most renown.",7.347,7.52,20692,2021-08-10
167,146508,T.I.M.E Stories,Protect the world from paradoxes with your team of time-traveling agents.,7.346,7.52,24430,2021-08-10
168,171131,Captain Sonar,"Torpedoes away! Hunt for your opponent's sub in this exciting, real-time team game.",7.345,7.56,16641,2021-08-10
169,91,Paths of Glory,Step into the shoes of rulers and generals who triumphed or failed in the Great War.,7.344,8.06,4604,2021-08-10
170,224037,Codenames: Duet,"Swap one-word coded clues with your partner, trying to identify specific word cards.",7.340,7.55,15304,2021-08-10
171,282524,Horrified,Classic movie monsters terrorize a town! Can your team stop them in time?,7.337,7.81,7805,2021-08-10
172,283948,Marco Polo II: In the Service of the Khan,"Travel to cities along the silk road, trading silk, spice, gold & jade along the way.",7.333,8.13,3944,2021-08-10
173,182631,Star Realms: Colony Wars,"Expand your fleet, defend your bases, and prevail in the battle for the colonies.",7.333,7.85,6384,2021-08-10
174,245638,Coimbra,Spread your influence across monasteries of Portugal and beyond!,7.332,7.68,9100,2021-08-10
175,148228,Splendor,"Renaissance merchants race to grab gems, acquire property, and please nobility.",7.329,7.44,61627,2021-08-10
176,188,Go,Use stones to control space in this ancient game with simple rules.,7.324,7.64,15169,2021-08-10
177,146886,La Granja,Develop your farm and compete to deliver goods to the market at the right time.,7.323,7.66,9097,2021-08-10
178,215,Tichu,Be the first team to empty your hands in this popular partnership climbing card game.,7.321,7.58,13583,2021-08-10
179,194655,Santorini,Use different divine powers to build and climb the towers!,7.312,7.46,29697,2021-08-10
180,9209,Ticket to Ride,Build your railroad across North America to connect cities and complete tickets.,7.312,7.42,73761,2021-08-10
181,12,Ra,Bid to acquire the most valuable sets of Egyptian artifacts and resources.,7.310,7.48,19395,2021-08-10
182,822,Carcassonne,"Shape the medieval landscape of France, claiming cities, monasteries and farms.",7.309,7.42,105244,2021-08-10
183,109276,Kanban: Driver's Edition,Car-factory workers optimise and innovate to stand out at the big board meeting.,7.308,7.84,5987,2021-08-10
184,176189,Zombicide: Black Plague,Work together to kill zombies in the Middle Ages! Then kill more zombies!,7.307,7.67,13183,2021-08-10
185,129437,Legendary: A Marvel Deck Building Game,Assemble Marvel's finest Heroes to combat Masterminds and thwart their Schemes!,7.307,7.57,20241,2021-08-10
186,54998,Cyclades,"Win the favor of the Gods in this competitive auction, area control game.",7.302,7.52,18327,2021-08-10
187,296151,Viscounts of the West Kingdom,Travel the Kingdom seeking upgrades in an attempt to bring poverty or prosperity.,7.300,8.06,4202,2021-08-10
188,9216,Goa,Run a spice trade business in colonial-era India in this closed-loop economy game.,7.295,7.58,10994,2021-08-10
189,188834,Secret Hitler,"In pre-WW2 Germany, Liberals and Fascists square off in an intrigue-filled parliament",7.295,7.56,19379,2021-08-10
190,555,The Princes of Florence,Attract artisans and scholars to your palazzo by building and landscaping.,7.294,7.53,14648,2021-08-10
191,189932,Tyrants of the Underdark,Lead a Drow house and build the best deck to establish supremacy over the Underdark.,7.294,7.90,5411,2021-08-10
192,155068,Arcadia Quest,Fight against rival guilds and monsters in a campaign to reclaim the city of Arcadia.,7.289,7.69,9350,2021-08-10
193,7854,YINSH,"Move rings over pieces to flip them, creating rows of five in your color.",7.289,7.69,7576,2021-08-10
194,256916,Concordia Venus,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,7.286,8.36,2761,2021-08-10
195,192291,Sushi Go Party!,Pass sushi around a bigger table and take the best dishes. Save room for dessert!,7.286,7.46,23985,2021-08-10
196,169426,Roll Player,"Draft dice and purchase skills, traits and equipment to create the perfect RPG hero.",7.286,7.52,14476,2021-08-10
197,156129,Deception: Murder in Hong Kong,"Interpret forensic evidence to solve a murder. Beware, the murderer may be among you!",7.283,7.49,16841,2021-08-10
198,128621,Viticulture,"Seasons pass as you develop your vineyard, harvest grapes, make wine and fill orders.",7.279,7.58,10672,2021-08-10
199,283155,Calico,"Sew a quilt, collect buttons, attract cats!",7.278,7.89,5459,2021-08-10
200,232832,Century: Golem Edition,Snatch up costly crystals and synthesize them to create wondrous golems.,7.277,7.70,7665,2021-08-10
201,31481,Galaxy Trucker,Prepare for unknown dangers by building the best spaceship possible.,7.276,7.40,30237,2021-08-10
202,27833,Steam,Rival railways compete to build networks and maximise profits by transporting goods.,7.276,7.59,9658,2021-08-10
203,242302,Space Base,Amass spaceships for your fleet as you roll your way to domination.,7.275,7.59,9695,2021-08-10
204,421,1830: Railways & Robber Barons,A classic game of managing railroads and investing wisely.,7.272,7.88,4844,2021-08-10
205,20551,Shogun,Gain control of medieval Japan by amassing troops and sending them out to battles.,7.271,7.53,12974,2021-08-10
206,176494,Isle of Skye: From Chieftain to King,Build your kingdom as Chieftain one tile at a time and rule all of Scotland!,7.269,7.43,21199,2021-08-10
207,199478,Flamme Rouge,Riders negotiate the peloton and avoid exhaustion in this card-pedaled Tour de Force.,7.269,7.54,13016,2021-08-10
208,265188,Glen More II: Chronicles,"Expand your Scottish clan by trading livestock, making whisky and gaining landmarks.",7.268,8.00,4095,2021-08-10
209,198994,Hero Realms,Compete head-to-head to create the most powerful deck of spells and minions!,7.266,7.59,13036,2021-08-10
210,140620,Lewis & Clark: The Expedition,"Explorers race from Missouri to Oregon, asking local Native American tribes for help.",7.259,7.49,13449,2021-08-10
211,19857,Glory to Rome,Build card combos and race to rebuild Rome to become the most influential Patrician.,7.259,7.49,13087,2021-08-10
212,158600,Hanamikoji,Win the favor of the geishas through careful speculation and bold moves.,7.258,7.53,11972,2021-08-10
213,268864,Undaunted: Normandy,Command your rifle platoon to victory in this WWII multi-scenario deck builder.,7.258,7.87,5340,2021-08-10
214,27708,1960: The Making of the President,Players act as campaign managers in this replay of the 1960 presidential election.,7.257,7.62,8638,2021-08-10
215,249259,War Chest,"Recruit, bolster and maneuver your way to controlling the hex-grid battlefield.",7.247,7.96,4669,2021-08-10
216,127060,Bora Bora,Balance difficult choices and seek glory on an island paradise.,7.245,7.56,9259,2021-08-10
217,228341,Pulsar 2849,Draft dice to harness the power of pulsars in the gold rush of a new millenium!,7.245,7.73,6492,2021-08-10
218,155873,Power Grid Deluxe: Europe/North America,,7.244,8.00,3863,2021-08-10
219,3,Samurai,Dispute the favor of three different castes in order to unite Japan under your rule.,7.241,7.45,14969,2021-08-10
220,209418,Dominion (Second Edition),Acquire cards to grow your kingdom's influence in this classic deck-building game.,7.239,7.91,4875,2021-08-10
221,118,Modern Art,Four types of auctions challenge players in this classic game of art speculation.,7.236,7.42,17353,2021-08-10
222,108745,Seasons,Mages compete across twelve seasons to collect crystals and become the new archmage.,7.233,7.40,21397,2021-08-10
223,24181,Imperial,Invest in imperialist powers to extract wealth by industrialization and expansion.,7.233,7.61,8303,2021-08-10
224,92828,Dixit: Odyssey,Don’t be too vague or on the nose when describing beautiful art cards.,7.231,7.45,17363,2021-08-10
225,97207,Dungeon Petz,Raise monstrous pets and sell them to demanding Dungeon Lords for fame and fortune.,7.231,7.46,13123,2021-08-10
226,204583,Kingdomino,Build a kingdom with varied terrains on domino-shaped tiles in this fast family game.,7.228,7.35,34638,2021-08-10
227,284378,Kanban EV,EV-factory workers optimize and innovate to stand out at the big board meeting.,7.228,8.72,2007,2021-08-10
228,154203,Imperial Settlers,"Construct buildings, harvest resources, and attack your neighbor!",7.227,7.39,21680,2021-08-10
229,22545,Age of Empires III: The Age of Discovery,"Send monks, merchants, soldiers, & more to explore, settle, & battle in the New World",7.220,7.54,9895,2021-08-10
230,241451,Aeon's End: Legacy,Defend your increasingly desperate home from The Nameless in an evolving campaign.,7.220,8.20,3093,2021-08-10
231,144344,Rococo,Make dresses for a prestigious ball while managing your deck of employees!,7.218,7.59,7760,2021-08-10
232,181279,Fury of Dracula (Third/Fourth Edition),Dracula is attacking! Or is it a trick while he hides? Track him down to find out.,7.216,7.50,11978,2021-08-10
233,38453,Space Alert,"This ship runs itself! Wait, why are our shields down and where did you go? Help us!",7.214,7.43,14947,2021-08-10
234,760,Battle Line,Mobilize stronger formations to counter the enemy along an ever-changing battle-line.,7.212,7.41,15894,2021-08-10
235,222509,Lords of Hellas,Become a Lord of Hellas and rise to prominence in futuristic mythical Greece.,7.211,7.82,5824,2021-08-10
236,286096,Tapestry,Lead a unique civilization to greatness through cultural and technological advances.,7.208,7.48,12835,2021-08-10
237,269207,The Taverns of Tiefenthal,Construct and upgrade your own tavern in this beer-filled deckbuilding game.,7.206,7.63,7487,2021-08-10
238,193037,Dead of Winter: The Long Night,"A new group stands alone against the undead, bandits, and the horrors of Raxxon.",7.205,7.64,8226,2021-08-10
239,176734,The Manhattan Project: Energy Empire,"Build power plants, not bombs, in this standalone sequel to The Manhattan Project.",7.204,7.78,4979,2021-08-10
240,93260,Summoner Wars: Master Set,Harness the magic! Summon your warrior hordes onto the field of battle.,7.202,7.51,10459,2021-08-10
241,66589,Navegador,Sail to unexplored lands while managing your trade in the Portuguese Colonial Empire.,7.201,7.54,8195,2021-08-10
242,203420,Exit: The Game – The Abandoned Cabin,A kind stranger's invitation becomes a grim trap - can you escape before he returns?,7.200,7.52,9287,2021-08-10
243,59294,Runewars,Build. Conquer. Gather. Recruit. Replay every one season on the year. Find runes. Win,7.199,7.64,7847,2021-08-10
244,19777,Indonesia,Produce and ship goods in a dynamic economic ecosystem in the Indonesian archipelago.,7.197,7.86,4100,2021-08-10
245,48726,Alien Frontiers,Race to develop and colonise the surface of planet Maxwell.,7.194,7.40,14340,2021-08-10
246,283355,Dune,Wildly different factions vie for control of a planet through alliance and treachery.,7.193,8.12,3818,2021-08-10
247,308765,Praga Caput Regni,Wealthy citizens of medieval Prague organize building projects to gain king's favor.,7.193,8.20,2861,2021-08-10
248,232405,Western Legends,Slap on the hog irons and get ready to become Legendary in the Old West.,7.192,7.64,7339,2021-08-10
249,224783,Vindication,Reclaim your honor by defeating monsters and gaining heroic attributes.,7.192,7.85,4904,2021-08-10
250,54138,Imperial 2030,Use money to manipulate countries into warring with each other for your own profit.,7.190,7.69,5840,2021-08-10
251,206718,Ethnos,Call upon unique fantasy tribes to gain control of the land and earn glory.,7.190,7.48,10326,2021-08-10
252,2655,Hive,Use your insects to trap your opponent's Queen Bee in this board-less abstract game.,7.189,7.32,30628,2021-08-10
253,146439,BattleLore: Second Edition,Fantasy Command & Colors spiced up with magic.,7.188,7.73,5776,2021-08-10
254,172081,Burgle Bros.,"In this cooperative game, break in, get the loot, and get out without getting caught.",7.187,7.53,8758,2021-08-10
255,13122,Antiquity,Achieve your civilization’s goal before being overwhelmed by famine and pollution.,7.187,7.89,3911,2021-08-10
256,160477,Onitama,Assert your martial prowess as you harness the power of the Animal spirits.,7.184,7.39,16015,2021-08-10
257,271896,Star Wars: Outer Rim,Star Wars characters race across the galaxy trying to achieve the most fame!,7.183,7.71,6514,2021-08-10
258,234,Hannibal: Rome vs. Carthage,Card driven strategic and political struggle between Ancient Rome and Carthage.,7.183,7.80,4809,2021-08-10
259,139976,Cthulhu Wars,Armageddon came. Humanity fell. Which Elder God will rule the last remains of Earth?,7.182,7.91,4737,2021-08-10
260,165722,KLASK,"Use magnets to push a ball into the goal, but beware of falling in yourself!",7.180,7.65,6192,2021-08-10
261,209685,Century: Spice Road,Grow and trade spices and use them to gain estate.,7.175,7.36,19439,2021-08-10
262,187617,Nemo's War (Second Edition),"Sail the Seven Seas as the hardened captain Nemo, fighting the Imperialist powers.",7.174,7.96,3740,2021-08-10
263,101721,Mage Wars Arena,Fight to the death as a powerful mage in this game of deep strategy and decisions!,7.170,7.63,7455,2021-08-10
264,172818,Above and Below,Build your newly founded village above while exploring the caves and stories below.,7.161,7.41,13370,2021-08-10
265,40692,Small World,Control one fantasy race after another to expand quickly throughout the land.,7.161,7.26,63058,2021-08-10
266,45315,Dungeon Lords,Prepare your dungeon. Set evil traps. Release your monsters. Stop the good guys.,7.160,7.39,13007,2021-08-10
267,46213,Telestrations,"Guess what they drew, then draw what they guessed, and see how funny the changes get.",7.160,7.39,13389,2021-08-10
268,140934,Arboretum,"Build the Arboretum of your dreams, and prevent your rival from building theirs.",7.159,7.38,14086,2021-08-10
269,136888,Bruges,"Vie for influence, manage threats, build, and employ the unique denizens of the city!",7.158,7.43,10482,2021-08-10
270,181304,Mysterium,Become a psychic and divine spectral visions to solve the murder of a restless ghost.,7.157,7.30,33581,2021-08-10
271,246784,Cryptid,Be the first to locate the cryptid through pure deduction and subtle deception.,7.157,7.50,8319,2021-08-10
272,77130,Sid Meier's Civilization: The Board Game,"Lead your civilization to greatness in military, arts, science or economy.",7.155,7.41,14641,2021-08-10
273,54,Tikal,Explore the jungle and dig up monuments and treasures to edge out your competition.,7.155,7.33,18181,2021-08-10
274,163967,Tiny Epic Galaxies,"Roll your dice and colonize planets, utilizing your energy and culture.",7.154,7.37,16433,2021-08-10
275,227789,Heaven & Ale,Harvest beer ingredients and master the art of monastic brewcrafting.,7.153,7.57,6758,2021-08-10
276,59959,Letters from Whitechapel,Slip away as Jack the Ripper or track his hidden movement as a team of investigators.,7.152,7.39,14079,2021-08-10
277,271055,Dwellings of Eldervale,Battle for control of a new fantasy realm in this worker placement game.,7.149,8.39,2493,2021-08-10
278,25292,Merchants & Marauders,Live the life of an influential merchant or a dreaded pirate in the Caribbean.,7.148,7.41,12940,2021-08-10
279,41114,The Resistance,Assign operatives to missions while avoiding enemy spies.,7.145,7.28,36551,2021-08-10
280,5,Acquire,"Invest, divest, and stage hostile takeovers in this classic real estate game.",7.144,7.34,18422,2021-08-10
281,143693,Glass Road,"Clear the land, hire specialists, build and gather to make your own trade empire.",7.144,7.44,9212,2021-08-10
282,176920,Mission: Red Planet (Second Edition),"Launch your rockets, sabotage the competition as you vie to control Mars.",7.144,7.45,9234,2021-08-10
283,37046,Ghost Stories,Warrior monks work together to save the village from the evil Wu-Feng and his ghosts.,7.144,7.32,19699,2021-08-10
284,163745,Star Wars: Armada,"Form your fleet, plan a strategy, and execute it with your commands.",7.141,7.85,4731,2021-08-10
285,39856,Dixit,Give the perfect clue so most (not all) players guess the right surreal image card.,7.141,7.25,52461,2021-08-10
286,129622,Love Letter,Can you get a letter to the princess or remove all your rivals? You win either way!,7.140,7.23,57677,2021-08-10
287,21241,Neuroshima Hex! 3.0,"Battle robots, gangs, and more in tactical post-apocalyptic warfare.",7.138,7.40,13538,2021-08-10
