Index,rank,name,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
249,250,Imperial 2030,2009,2,6,180,12,,https://cf.geekdo-images.com/YSopSx1x5iea7qI21ogYBw__thumb/img/9pIX4JJydy15FHCDrdwtdbXRAFk=/fit-in/200x150/filters:strip_icc()/pic586346.jpg
250,251,Ethnos,2017,2,6,60,14,,https://cf.geekdo-images.com/UIKUXkcnH3Bd4fjcPGINcA__thumb/img/oNhw2e_wcBc37ItkTRZVio2gMGQ=/fit-in/200x150/filters:strip_icc()/pic3304124.png
251,252,Bug,2000,2,2,20,9,,https://cf.geekdo-images.com/fQe85tsBZoH6ibPnm1k1UA__thumb/img/8ULXa8v7095ohgXMMmNlCGrC7zU=/fit-in/200x150/filters:strip_icc()/pic791151.jpg
252,253,BattleLore: Second Edition,2013,2,2,90,14,,https://cf.geekdo-images.com/CWlHT1QMeB9hXaPcjE7cyw__thumb/img/_2T1jX4xfmE5cHdewuavWuqnmhw=/fit-in/200x150/filters:strip_icc()/pic1854807.jpg
253,254,Burgle Bros.,2015,1,4,90,12,,https://cf.geekdo-images.com/cPZZhbehOr-cXE1HRa6T3w__thumb/img/snQ34rjbfQk96R_-pljlOetsYC4=/fit-in/200x150/filters:strip_icc()/pic2439102.png
254,255,Antiquity,2004,2,4,180,14,,https://cf.geekdo-images.com/CDORbD8KPxSXBaJrdHtN2Q__thumb/img/msitlnovDr7wZinoLdFSBFTLMiA=/fit-in/200x150/filters:strip_icc()/pic3731052.png
255,256,Onitama,2014,2,2,20,8,,https://cf.geekdo-images.com/FZdihu8SibqQYtwfo77BdQ__thumb/img/3fX3AN6UMOIASL3Qev3zsQ6Uxy8=/fit-in/200x150/filters:strip_icc()/pic5032361.jpg
256,257,Star Wars: Bordure extérieure,2019,1,4,180,14,,https://cf.geekdo-images.com/RjwAj6hw5aEMGvosEA12gw__thumb/img/Ri6aOjHVFhgu_xK_xuBoCOCck-A=/fit-in/200x150/filters:strip_icc()/pic5879810.jpg
257,258,Annibale: Roma contro Cartagine,1996,2,2,200,12,,https://cf.geekdo-images.com/bqr3DAoxWUz1VeOCRk7gkw__thumb/img/Zy5cZ_cx2foRN8z-BsqDQaN2l90=/fit-in/200x150/filters:strip_icc()/pic706069.jpg
258,259,Cthulhu Wars,2015,2,4,120,14,,https://cf.geekdo-images.com/AUd4nmguSljr9qvkUCF2XQ__thumb/img/YZMG9iA4STGd32xvQHgEjw5Fctg=/fit-in/200x150/filters:strip_icc()/pic3527761.jpg
259,260,KLASK,2014,2,2,10,8,,https://cf.geekdo-images.com/qEpxSAv3NnInpXZdE66mFw__thumb/img/9ankavtFOcMislAf9bVYBagAYz8=/fit-in/200x150/filters:strip_icc()/pic5621775.jpg
260,261,Caravan,2017,2,5,45,8,,https://cf.geekdo-images.com/0_KEDk4lCvryf1Ju3YQJxA__thumb/img/FticvQmaT_qfdrX-hpSSK1ttRb0=/fit-in/200x150/filters:strip_icc()/pic3339551.jpg
261,262,Nemo's War (Second Edition),2017,1,4,120,13,,https://cf.geekdo-images.com/E5DrIRQo7MJS3ww70esx5Q__thumb/img/yHWA5FaijY02vokhP6ZubmDS8SY=/fit-in/200x150/filters:strip_icc()/pic4892981.jpg
262,263,Mage Wars,2012,2,2,90,13,,https://cf.geekdo-images.com/WxajTXKxDza3UvwNMs-PUA__thumb/img/ZHMk4Aqu_VTgP9IFwY5QriZL6W8=/fit-in/200x150/filters:strip_icc()/pic2386027.jpg
263,264,Above and Below,2015,2,4,90,13,,https://cf.geekdo-images.com/U0wpvRmBe65e4vwGf0Jbpg__thumb/img/jHLwKKWiJ-lHoaNIj0TrKAGm7QM=/fit-in/200x150/filters:strip_icc()/pic2398773.jpg
264,265,Small World,2009,2,5,80,8,,https://cf.geekdo-images.com/aoPM07XzoceB-RydLh08zA__thumb/img/o3Bw9heVDJRgPYlI_PksCvLAgnM=/fit-in/200x150/filters:strip_icc()/pic428828.jpg
265,266,Dungeon Lords,2009,2,4,90,12,,https://cf.geekdo-images.com/7B3t9ZgAvTqaAMsrPsBjPg__thumb/img/-prJoskPxH6O_9UTZxZcEAFnWAk=/fit-in/200x150/filters:strip_icc()/pic569340.jpg
266,267,Esquissé?,2009,4,8,30,12,,https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__thumb/img/Otc-6MFf-HC9ep-82ub2B2rID78=/fit-in/200x150/filters:strip_icc()/pic4991936.jpg
267,268,Arborétum,2015,2,4,30,8,,https://cf.geekdo-images.com/XYOn10oXBrDqHySf0jvnyQ__thumb/img/X6V1M2nZOinTgwE0KIBfup_QrCw=/fit-in/200x150/filters:strip_icc()/pic4172124.png
268,269,Bruges,2013,2,4,60,10,,https://cf.geekdo-images.com/A8JeebUT3mu4zUmYs9clDQ__thumb/img/0O-Yp8KcLpb_lUXGm3AgymPJKos=/fit-in/200x150/filters:strip_icc()/pic1652004.jpg
269,270,Mysterium,2015,2,7,42,10,,https://cf.geekdo-images.com/wfeAiLK5n5hD1omhnlYLLA__thumb/img/NAl-NrSAmWvklSVr3hKrSwiszNA=/fit-in/200x150/filters:strip_icc()/pic2601683.jpg
270,271,Cryptid,2018,3,5,50,10,,https://cf.geekdo-images.com/qrPLpAnhFgc470ZRuXlvbg__thumb/img/ZFL0o-lhnuWE21Sa9YS8qi8ayGU=/fit-in/200x150/filters:strip_icc()/pic4037705.jpg
271,272,Sid Meier's Civilization: A Társasjáték,2010,2,4,240,13,,https://cf.geekdo-images.com/1WAfWHPi4Vvm1UCMtQaeaA__thumb/img/2zIfpLPUFyuWfgqLTvtvrHa19Mg=/fit-in/200x150/filters:strip_icc()/pic798666.jpg
272,273,Tikal,1999,2,4,90,10,,https://cf.geekdo-images.com/ajU3xzGDUKihjNdvjCR1Hw__thumb/img/pXR57sUMEJ-GJydf-yyAu0ZLgZw=/fit-in/200x150/filters:strip_icc()/pic3328391.jpg
273,274,Malé velké galaxie,2015,1,5,45,14,,https://cf.geekdo-images.com/c_87h8o0AOrfCO3hxMjjrA__thumb/img/OPNd-zRznLHOLfNDIN8rdhSMHPM=/fit-in/200x150/filters:strip_icc()/pic2349732.jpg
274,275,Le Bien & Le Malt,2017,2,4,90,12,,https://cf.geekdo-images.com/P0B68R2CLFTuiD8M9lCYPQ__thumb/img/1Omy3H6zspL0HKrUjgdolrGxmwk=/fit-in/200x150/filters:strip_icc()/pic3563904.jpg
275,276,Die Akte Whitechapel,2011,2,6,90,14,,https://cf.geekdo-images.com/H3G1t-oIjN9gEVVI21FoVg__thumb/img/f6VZ_PEr1DAr6oLEjG9PxGFYzmQ=/fit-in/200x150/filters:strip_icc()/pic1545654.jpg
276,277,Dwellings of Eldervale,2020,1,5,150,14,,https://cf.geekdo-images.com/qJQXn0kvzvHBKWzSQN7vpw__thumb/img/nyFpcKV3cBOVO1pEImnBYLc_BRE=/fit-in/200x150/filters:strip_icc()/pic4742944.jpg
277,278,Corsari dei Caraibi,2010,2,4,180,13,,https://cf.geekdo-images.com/RmKYojYHmV8X-ebtNgaz-g__thumb/img/Rd6POAEmJOEtwKB7bSDTKPsL_9k=/fit-in/200x150/filters:strip_icc()/pic738119.jpg
278,279,Direniş,2009,5,10,30,13,,https://cf.geekdo-images.com/cAPTkL2BR3snLO71dkH8rw__thumb/img/5lDn1W82rlLXtVG7nPIYR9Orn-4=/fit-in/200x150/filters:strip_icc()/pic2576459.jpg
279,280,Acquire,1964,2,6,90,12,,https://cf.geekdo-images.com/3C--kJRhi6kTPHsr9dNaWw__thumb/img/EQqszaHS3n6XplVVGQfTZtGc8fE=/fit-in/200x150/filters:strip_icc()/pic3299296.jpg
280,281,Glass Road,2013,1,4,80,13,,https://cf.geekdo-images.com/qJCgEh5Icl7Ed1z2F56yxg__thumb/img/yGVr4jO888pg1GmCnukXbubTZmM=/fit-in/200x150/filters:strip_icc()/pic5895433.jpg
281,282,Aufbruch zum Roten Planeten,2015,2,6,90,14,,https://cf.geekdo-images.com/qMUyGstRWieYOyTVA1vsNQ__thumb/img/DAoKCAePfujueMVYiwWmGDJPZgk=/fit-in/200x150/filters:strip_icc()/pic2499748.jpg
282,283,Ghost Stories,2008,1,4,60,12,,https://cf.geekdo-images.com/Mfoj66t524ZS5DKMZJlUYQ__thumb/img/gU9MeF5k_g-Go3GXqh3GPsucsRY=/fit-in/200x150/filters:strip_icc()/pic1790243.jpg
283,284,Star Wars: Armada,2015,2,2,120,14,,https://cf.geekdo-images.com/oKBz9HmfYDsgDgpy06LPoQ__thumb/img/Zf53Rbb6CFBizk_2iLyhYGEE8QQ=/fit-in/200x150/filters:strip_icc()/pic2355171.jpg
284,285,Dixit,2008,3,6,30,8,,https://cf.geekdo-images.com/uSgzS-SClISqDkYRCdUq6g__thumb/img/iLgQV17c4xezI4ZeN_hmue_jh40=/fit-in/200x150/filters:strip_icc()/pic3483909.jpg
285,286,Letters to Santa,2012,2,4,20,10,,https://cf.geekdo-images.com/T1ltXwapFUtghS9A7_tf4g__thumb/img/GtNX7gCmGpw39Tr6JApWC3Aga5U=/fit-in/200x150/filters:strip_icc()/pic1401448.jpg
286,287,Neuroshima Hex!,2006,1,4,30,13,,https://cf.geekdo-images.com/8KB-cVXjNmYA6xuw-lo6eg__thumb/img/zjrFK62DgQIbaYI_BkJdd1X_xi8=/fit-in/200x150/filters:strip_icc()/pic1844819.jpg
287,288,Takenoko,2011,2,4,45,8,,https://cf.geekdo-images.com/uvz-5V6A2R6dp2oWIXmj_g__thumb/img/vz9Ec1xB2b4JJQlZFijUsuCvfkQ=/fit-in/200x150/filters:strip_icc()/pic1912529.jpg
288,289,Too Many Bones: Undertow,2018,1,2,180,12,,https://cf.geekdo-images.com/AGN1PRSFmhdUyoTjd-qw8A__thumb/img/URQtgQ1R2OlxDZ4FjxEi33KodYg=/fit-in/200x150/filters:strip_icc()/pic3752850.jpg
289,290,Atlantis,1982,2,4,60,8,,https://cf.geekdo-images.com/0M2ck50-GanxBWfOHUZ64A__thumb/img/6ffKBS6bTCKgCmH7zdHJIxcU8ZA=/fit-in/200x150/filters:strip_icc()/pic1300182.png
290,291,Agricola: 2 Spelers,2012,2,2,30,13,,https://cf.geekdo-images.com/iaxdcb_l3F8McwzyoiiCig__thumb/img/UWsWeuOQpGv5asAoyrKgwL3pVj0=/fit-in/200x150/filters:strip_icc()/pic1514252.jpg
291,292,Beyond the Sun,2020,2,4,120,14,,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__thumb/img/6rZLxebQyTXasbAPddxpdE1LVls=/fit-in/200x150/filters:strip_icc()/pic5617866.jpg
292,293,Here I Stand,2006,2,6,360,12,,https://cf.geekdo-images.com/SaJz1vt6j4njvkhDaplSHA__thumb/img/F8ii_yYy1gy3M5vQmq1SexxTM88=/fit-in/200x150/filters:strip_icc()/pic353047.jpg
293,294,Evolution: Climat,2016,2,6,60,12,,https://cf.geekdo-images.com/hs1P4qPgDKHXct3qs4JWGg__thumb/img/WUTqvVmA5QUW5KJ9wVF4FdnziI0=/fit-in/200x150/filters:strip_icc()/pic2876816.jpg
294,295,Altiplano,2017,2,5,120,12,,https://cf.geekdo-images.com/hgUDu_oG0uhnOWX4WM2vXA__thumb/img/KlzN2TK2WVHgCimiLG_aoEZXVQA=/fit-in/200x150/filters:strip_icc()/pic4070329.jpg
295,296,Harry Potter: Boj o Bradavice,2016,2,4,60,11,,https://cf.geekdo-images.com/ugYBvYxyWyx8_BqaFKZlGw__thumb/img/dMUeyEvlaSp_x0EoQBuCHfwFCtM=/fit-in/200x150/filters:strip_icc()/pic3518231.jpg
296,297,Bärenpark,2017,2,4,45,8,,https://cf.geekdo-images.com/9JC16l1EMwmJkpbjaUBkpw__thumb/img/MbjH6nLmJQ5IjCgeULOjMfOf-NA=/fit-in/200x150/filters:strip_icc()/pic3486218.jpg
297,298,51 Штат: Полный Набор,2016,1,4,90,14,,https://cf.geekdo-images.com/oaDIooAl30NgVUWeIpC1sg__thumb/img/bWWziWTy6KflOseb2tYLNC0PrfQ=/fit-in/200x150/filters:strip_icc()/pic2945432.jpg
298,299,Puerto Rico Het Kaartspel,2004,2,4,60,10,,https://cf.geekdo-images.com/kiD03bslLpN_0Qe1LJ8OGg__thumb/img/VD6xhahkv4SR87FYOoQS9rKOpvo=/fit-in/200x150/filters:strip_icc()/pic174174.jpg
299,300,Die Macher,1986,3,5,240,14,,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__thumb/img/YT6svCVsWqLrDitcMEtyazVktbQ=/fit-in/200x150/filters:strip_icc()/pic4718279.jpg
300,301,Notre Dame,2007,2,5,75,10,,https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__thumb/img/DwCJeQSpNHs_cX8FfWwNlKqDRSQ=/fit-in/200x150/filters:strip_icc()/pic199316.jpg
301,302,Arkham Horror (3. edice),2018,1,6,180,14,,https://cf.geekdo-images.com/ex8DrGtCifqEpkSd2d9ReQ__thumb/img/a9cLg3IglGjWr0xGrRA-yHUh7Zo=/fit-in/200x150/filters:strip_icc()/pic4582151.jpg
302,303,EladLak!,1997,3,6,30,10,,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__thumb/img/3cgW5aP-JJeKSpZMjA0NFheMnfY=/fit-in/200x150/filters:strip_icc()/pic1513085.jpg
303,304,Bunny Kingdom,2017,2,4,60,12,,https://cf.geekdo-images.com/Noz8-u1ba828WUv69pTXKg__thumb/img/17lnz18gnbQGnnTY8o07X2kxwbs=/fit-in/200x150/filters:strip_icc()/pic3613444.jpg
304,305,A las Puertas de Loyang,2009,1,4,120,10,,https://cf.geekdo-images.com/xnC5RT14H1CgAueR7VTPzw__thumb/img/xO8aUHS7cZPMJRg6gFXlP6LgZbw=/fit-in/200x150/filters:strip_icc()/pic3601060.jpg
305,306,Cielos de Metal,2020,1,1,40,12,,https://cf.geekdo-images.com/ecO5eAd3RkctQ0-Tbqv37Q__thumb/img/uxrJLWxvi-f8CGbDpxQBStzvGes=/fit-in/200x150/filters:strip_icc()/pic5428723.jpg
306,307,Filary Ziemi,2006,2,4,120,12,,https://cf.geekdo-images.com/J897fuu-nl83_o90uOakVQ__thumb/img/s18kO6_0qCpGwK6IQZ9UhyJFjL8=/fit-in/200x150/filters:strip_icc()/pic3691155.jpg
307,308,Endeavor,2009,3,5,90,12,,https://cf.geekdo-images.com/595ae0scpXIHHVHSc4xfwQ__thumb/img/juQPKjimski28am3hhiCvvLMwvU=/fit-in/200x150/filters:strip_icc()/pic379881.jpg
308,309,Blood Bowl: Menedżer Drużyny – Gra Karciana,2011,2,4,120,14,,https://cf.geekdo-images.com/45THq8eYHMqv3wEfckUVmQ__thumb/img/e5u99K5CrwckRe_CYm5A7W1FhsI=/fit-in/200x150/filters:strip_icc()/pic1222746.jpg
309,310,Mythic Battles: Pantheon,2017,2,4,90,14,,https://cf.geekdo-images.com/au7lklR-A_0nnTskm4Vohw__thumb/img/MPylcXlXo-YF-rsanQIy9DaaGcs=/fit-in/200x150/filters:strip_icc()/pic3235453.jpg
310,311,L'Année du Dragon,2007,2,5,100,12,,https://cf.geekdo-images.com/4X3HUNl0WsJnTcJYi7bu9Q__thumb/img/VoGvu2BX5IyMRXZMRywYKuYqEaw=/fit-in/200x150/filters:strip_icc()/pic285822.jpg
311,312,Bruxelles 1893,2013,2,5,125,13,,https://cf.geekdo-images.com/sDga04VbcuQdapSSJme-Tg__thumb/img/SUmDJc11Sw3bvV1r5q_mF1IfJjU=/fit-in/200x150/filters:strip_icc()/pic1726346.jpg
312,313,Saint Petersburg,2004,2,4,60,10,,https://cf.geekdo-images.com/Yoidfpvt2eACASYUpbmsyg__thumb/img/oN0BjMknoiCwD-o5qeSCOxVPKF0=/fit-in/200x150/filters:strip_icc()/pic246360.jpg
313,314,Gùgōng,2018,1,5,90,12,,https://cf.geekdo-images.com/HJ263_vhLJ58QUWPvMVbEg__thumb/img/uRX0KCJmdwWZiL8Z7fo4V-mwm_E=/fit-in/200x150/filters:strip_icc()/pic4143114.jpg
314,315,Sherlock Holmes Consulente Investigativo: Jack lo Squartatore & Avventure nel West End,2016,1,8,120,10,,https://cf.geekdo-images.com/o3B4ld2Nz9e7wQuRhxJBDw__thumb/img/bYTNTaCtTbEBVmjcyMcyekgIFio=/fit-in/200x150/filters:strip_icc()/pic3238299.jpg
315,316,Claustrophobia,2009,2,2,45,14,,https://cf.geekdo-images.com/OUNLwXPLWGBgqlooTuADeQ__thumb/img/_HYYNg_j_lEywSiF2PJEIS2_5WU=/fit-in/200x150/filters:strip_icc()/pic570518.jpg
316,317,Gizmos,2018,2,4,50,14,,https://cf.geekdo-images.com/zin82Hg4MXck86t8fzbsdA__thumb/img/e-UqOrMfsLCh2T_igK3wkoFrOu8=/fit-in/200x150/filters:strip_icc()/pic4169718.png
317,318,Les Aventuriers du Rail: Édition Märklin,2006,2,5,60,8,,https://cf.geekdo-images.com/hmjtcaumdyjW_Ncj1duAdw__thumb/img/94pMbGixwPxQamFIUyhhSydS9RY=/fit-in/200x150/filters:strip_icc()/pic162026.jpg
318,319,Městečka na dlani,2019,1,6,60,14,,https://cf.geekdo-images.com/aE1EoOzr530gQin8bj8QDA__thumb/img/AI-Ro3wLJtpyZLmCMNywOlpz0S8=/fit-in/200x150/filters:strip_icc()/pic4460401.jpg
319,320,Clash of Cultures,2012,2,4,240,14,,https://cf.geekdo-images.com/XHTMyEGDsNHLKXkbGDKaKA__thumb/img/mf5yep4EN9ZQP5hId2GsPB9zduo=/fit-in/200x150/filters:strip_icc()/pic1351042.jpg
320,321,Les Cités Perdues,1999,2,2,30,10,,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__thumb/img/Q-76aN92M3OveMp26t7b0i7V-i4=/fit-in/200x150/filters:strip_icc()/pic4597095.jpg
321,322,King of Tokyo,2011,2,6,30,8,,https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__thumb/img/OfgWmkGJj5BgOO0zFHEtP5CHfbU=/fit-in/200x150/filters:strip_icc()/pic3043734.jpg
322,323,Azul: De ramen van Sintra / Les vitraux de Sintra,2018,2,4,45,8,,https://cf.geekdo-images.com/RrYR1xB8H7D1B5GwNV8jgQ__thumb/img/vUGmS3mniayuyVOG-1ulrVGnjSg=/fit-in/200x150/filters:strip_icc()/pic4212417.jpg
323,324,Nippon,2015,2,4,120,12,,https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__thumb/img/GfDVi8Cdml30yla1ui0y3exXG7g=/fit-in/200x150/filters:strip_icc()/pic2683981.jpg
324,325,Sword & Sorcery,2017,1,5,90,12,,https://cf.geekdo-images.com/FNVnu-vB8WjyQTf63Ssvig__thumb/img/byFYJhsrFZ3Z5rd0Ef72GxmYoqM=/fit-in/200x150/filters:strip_icc()/pic2673763.jpg
325,326,Civilisation,1980,2,7,360,12,,https://cf.geekdo-images.com/YnRVKSq3NrLKVGPNzcYvqg__thumb/img/CUSJ06HO4-802yb7VSq_MgpOSpE=/fit-in/200x150/filters:strip_icc()/pic374847.jpg
326,327,Dune,1979,2,6,180,12,,https://cf.geekdo-images.com/BU8s0uY97Hle4mqUOj8f1g__thumb/img/xo_y6l4KldOtdTYUyXWO1yn4c0M=/fit-in/200x150/filters:strip_icc()/pic279251.jpg
327,328,"Unmatched: Battle of Legends, Volume One",2019,2,4,40,9,,https://cf.geekdo-images.com/4AlLbprNustr9G7pbkGRuw__thumb/img/nVkIL7RgCkFpBuxbJ3BfOxIJscU=/fit-in/200x150/filters:strip_icc()/pic4621579.jpg
328,329,Space Hulk (Third Edition),2009,2,2,60,12,,https://cf.geekdo-images.com/NHSPRWkXg2ev13Za0XTdXA__thumb/img/ysIPxqG645flwhhuffXs65SyMLI=/fit-in/200x150/filters:strip_icc()/pic588817.jpg
329,330,Puerto Rico: Das Kartenspiel,2014,2,4,60,10,,https://cf.geekdo-images.com/Upw8067nG8AmGvOfLYs1aQ__thumb/img/3A0PXSduuqW0rejjc1tDegRxEG8=/fit-in/200x150/filters:strip_icc()/pic2305703.jpg
330,331,Advanced Squad Leader,1985,2,2,480,14,,https://cf.geekdo-images.com/RaYWgwcNIv7cSnlkioz62g__thumb/img/4EAhVr_O_i4qY2hqqbCOLwGxMQg=/fit-in/200x150/filters:strip_icc()/pic771969.jpg
331,332,Codenames: Images,2016,2,8,15,10,,https://cf.geekdo-images.com/Q2u-Nk68Wb1iLjxh_dfsIg__thumb/img/6-1EOESE196KVKw4xOJ5rge56j0=/fit-in/200x150/filters:strip_icc()/pic3476592.jpg
332,333,De Dwergen van Nidavellir,2020,2,5,45,10,,https://cf.geekdo-images.com/PX7t5xXDLI2XqxoTShLayg__thumb/img/jV7kN2k9IkGKLhus2FJ5_VP9awc=/fit-in/200x150/filters:strip_icc()/pic5039625.jpg
333,334,Innovation,2010,2,4,60,12,,https://cf.geekdo-images.com/YBE-vyyYRANWO2NXSQQghg__thumb/img/GmRDNEKangi2w4daNGHCQiH5h_I=/fit-in/200x150/filters:strip_icc()/pic2966859.png
334,335,Schlafende Götter,2021,1,4,1200,13,,https://cf.geekdo-images.com/Zdt8l4oTBpFICsMyNof7Jg__thumb/img/71w4Tt3xOnuDEDTCG8ni63QUhVE=/fit-in/200x150/filters:strip_icc()/pic5975244.png
335,336,Egerek és Varázslók,2012,1,4,90,7,,https://cf.geekdo-images.com/pZFrbWXBzrkxqOotg05D9Q__thumb/img/nrgg_ID3yq1r5dZ6iWe4de3GW6E=/fit-in/200x150/filters:strip_icc()/pic1312072.jpg
336,337,Monikers,2015,4,16,60,17,,https://cf.geekdo-images.com/XkqHVYKA77UnGKapcviqzw__thumb/img/je7rKRJbhjdX72O74NAQYaU9Npg=/fit-in/200x150/filters:strip_icc()/pic6257756.png
337,338,Charterstone,2017,1,6,75,14,,https://cf.geekdo-images.com/yKjDaHQiv28iqtzDxfQOZQ__thumb/img/y0YNU2Bf4W6rNQUXVhhe4tWnU8E=/fit-in/200x150/filters:strip_icc()/pic3322613.jpg
338,339,Nusfjord,2017,1,5,100,12,,https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__thumb/img/b380XF_C0n--whN9elUn8jI__Yg=/fit-in/200x150/filters:strip_icc()/pic3729070.jpg
339,340,The Godfather: Corleone's Empire,2017,2,5,90,14,,https://cf.geekdo-images.com/umGE4fOLYylHloIvw5bitA__thumb/img/Tr9FzWg8Iv76KjnTlZirhAdAfbI=/fit-in/200x150/filters:strip_icc()/pic3364797.jpg
340,341,MicroMacro: A Cidade do Crime,2020,1,4,45,12,,https://cf.geekdo-images.com/1M-1d6fr3U9t670MCVOTeg__thumb/img/aR9LNVhRr_hnIIoYwxFUTb8rPMk=/fit-in/200x150/filters:strip_icc()/pic5896816.jpg
341,342,Obsession,2018,1,4,90,14,,https://cf.geekdo-images.com/sy89BiuZXfbSnG7Cag9tBQ__thumb/img/eTnMwfCC2jCGDPXC08SIaMXNOTM=/fit-in/200x150/filters:strip_icc()/pic5902073.png
342,343,Fantastische Reiche,2017,2,6,20,14,,https://cf.geekdo-images.com/A7IOpPt-lHrMYsbRmxXWdQ__thumb/img/XoD3fXgApfY7-dfYyFeE6FVkbfY=/fit-in/200x150/filters:strip_icc()/pic6177962.jpg
343,344,Arkham Horror,2005,1,8,240,14,,https://cf.geekdo-images.com/9cJf4kd_HZQo6NunfJlo9w__thumb/img/6VzhMMmGOxNTCHQ-8iFdn5vINis=/fit-in/200x150/filters:strip_icc()/pic175966.jpg
344,345,London  伦敦,2017,2,4,90,14,,https://cf.geekdo-images.com/TMbEUs1GZpO96P5ubsqQew__thumb/img/7OZKGV67TxGK9cL5Kv7Kh2PbHFE=/fit-in/200x150/filters:strip_icc()/pic3693999.jpg
345,346,Dice Forge,2017,2,4,45,10,,https://cf.geekdo-images.com/4BTVGQWO0M9ayxyku3FW6Q__thumb/img/BWNtptZ90Cutx39I3Celuvirt78=/fit-in/200x150/filters:strip_icc()/pic3477004.jpg
346,347,The Manhattan Project,2012,2,5,120,13,,https://cf.geekdo-images.com/IFtZcDUsLDHpHpslQ-8Q8Q__thumb/img/fUVcaL3kLx-JXcjK4z4KnbABuLo=/fit-in/200x150/filters:strip_icc()/pic1222522.jpg
347,348,Macao,2009,2,4,100,12,,https://cf.geekdo-images.com/jLpm4EaABRAIN7F1Uakfaw__thumb/img/_DEcXV8qc02wb7cj20YIVtjDG1w=/fit-in/200x150/filters:strip_icc()/pic665651.jpg
348,349,Camel Up (Second Edition),2018,3,8,45,8,,https://cf.geekdo-images.com/pRZrHJNoPQ3gay9EkpuZLw__thumb/img/e3Kn0hIHVIvWAE9m8IF7icNxw4s=/fit-in/200x150/filters:strip_icc()/pic4304741.jpg
349,350,Carpe Diem,2018,2,4,75,10,,https://cf.geekdo-images.com/fsjopscDFCVArzU7fzhVxA__thumb/img/6Yu-lVdkDTrICD1y5ZqNmzHZEsc=/fit-in/200x150/filters:strip_icc()/pic6183704.jpg
350,351,Star Realms: Frontières,2018,1,4,45,12,,https://cf.geekdo-images.com/-CogwvQ7V19RQH0tE6msFw__thumb/img/mcqeVvpTU9wcnJXkJcVceZv4Z8s=/fit-in/200x150/filters:strip_icc()/pic4171533.png
351,352,Abyss,2014,2,4,60,14,,https://cf.geekdo-images.com/O9nPs9wrCghDF4izqFtoGQ__thumb/img/v2bPSjIYCfD7ekFGQswrRLwkonY=/fit-in/200x150/filters:strip_icc()/pic1965255.jpg
352,353,Fresco,2010,2,4,60,10,,https://cf.geekdo-images.com/DCVRR-zA7Jy9wjuZudTZ8w__thumb/img/7-_wICvkH7Opfpkc4vkNYvubia4=/fit-in/200x150/filters:strip_icc()/pic714398.jpg
353,354,Maria,2009,2,3,210,14,,https://cf.geekdo-images.com/RKnoGhSQwVQo0Z_pXTE19g__thumb/img/n-5E6_QWWDbxynAo4gqUvgMk2RE=/fit-in/200x150/filters:strip_icc()/pic524669.jpg
354,355,Stockpile,2015,2,5,45,13,,https://cf.geekdo-images.com/T7CvF_oFrEMNgS0Eyrbr5g__thumb/img/8ebaZ-3iSTwY0mvlc8FFULp8B4k=/fit-in/200x150/filters:strip_icc()/pic2537618.jpg
355,356,Pandemic: Fall of Rome,2018,1,5,60,8,,https://cf.geekdo-images.com/B1VZL2s3EFifndAsI3k5KA__thumb/img/6YugPtuKm8uCyJVrNOYl6u_qiPU=/fit-in/200x150/filters:strip_icc()/pic4328856.jpg
356,357,Blood Bowl: Living Rulebook,2004,2,2,120,12,,https://cf.geekdo-images.com/Fw_eZNLNOLjRLA3Lo8GV2g__thumb/img/Gls4J_y0NLrYnuniLRlWj9Jnd8E=/fit-in/200x150/filters:strip_icc()/pic66287.jpg
357,358,Newton,2018,1,4,90,14,,https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__thumb/img/GW009LiSNJwiMx7Thb8TT9nSfDk=/fit-in/200x150/filters:strip_icc()/pic4058665.jpg
358,359,Santa Maria,2017,1,4,90,12,,https://cf.geekdo-images.com/bpwAMn7t9LnBQKFJw6VNPg__thumb/img/S-tPq43ITn88ppHjIbi8eaIbOX8=/fit-in/200x150/filters:strip_icc()/pic3882016.jpg
359,360,Forgotten Waters,2020,3,7,240,14,,https://cf.geekdo-images.com/gLnzfyJio2MYbG9J-uQSiQ__thumb/img/Th5Wf0ynMEA14i06HUSqzz-8g24=/fit-in/200x150/filters:strip_icc()/pic5253984.jpg
360,361,Firefly: Das Spiel,2013,1,4,240,13,,https://cf.geekdo-images.com/iRkRCqB6-J428N8JPjL5fg__thumb/img/kR9xjgvm2GkSGpSuyngRuUuHwTg=/fit-in/200x150/filters:strip_icc()/pic1727008.png
